"","mod","x","y","angle","height","period","wind"
"31","mod010",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"32","mod010",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"33","mod010",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"34","mod011",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"35","mod011",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"36","mod011",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"37","mod012",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"38","mod012",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"39","mod012",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"40","mod013",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"41","mod013",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"42","mod013",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"43","mod014",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"44","mod014",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"45","mod014",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"46","mod015",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"47","mod015",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"48","mod015",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"49","mod016",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"50","mod016",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"51","mod016",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"52","mod017",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"53","mod017",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"54","mod017",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
"55","mod018",-120.5,34.16667,294.515757242839,2.05340111255646,8.02567497889201,10.9507617950439
"56","mod018",-120.167,33.66633,296.402425130208,1.92795753479004,7.78087441126506,9.22662258148193
"57","mod018",-119.667,34.16667,258.317571004232,1.12750140825907,8.43159818649292,1.47182023525238
